,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,13,0,2020-02-17
1,Fujian,福建省,福建,290,0,84,0,2020-02-17
2,Liaoning,辽宁省,辽宁,121,0,41,1,2020-02-17
3,Sichuan,四川省,四川,495,0,141,3,2020-02-17
4,Jiangsu,江苏省,江苏,626,0,247,0,2020-02-17
5,Jiangxi,江西省,江西,930,0,275,1,2020-02-17
6,Shandong,山东省,山东,541,0,182,2,2020-02-17
7,Guangxi,广西壮族自治区,广西,238,0,51,2,2020-02-17
8,Ningxia,宁夏回族自治区,宁夏,70,0,33,0,2020-02-17
9,Macau,澳门,澳门,10,0,5,0,2020-02-17
10,Henan,河南省,河南,1246,0,485,16,2020-02-17
11,Shanghai,上海市,上海,332,0,161,1,2020-02-17
12,Beijing,北京市,北京,381,0,114,4,2020-02-17
13,Anhui,安徽省,安徽,973,0,278,6,2020-02-17
14,Taiwan,台湾,台湾,20,0,2,1,2020-02-17
15,Xinjiang,新疆维吾尔自治区,新疆,75,0,12,1,2020-02-17
16,Hunan,湖南省,湖南,1006,0,491,3,2020-02-17
17,Jilin,吉林省,吉林,89,0,30,1,2020-02-17
18,Gansu,甘肃省,甘肃,90,0,54,2,2020-02-17
19,Guizhou,贵州省,贵州,146,0,54,1,2020-02-17
20,Chongqing,重庆市,重庆,551,0,210,5,2020-02-17
21,Yunnan,云南省,云南,171,0,45,0,2020-02-17
22,Shaanxi,陕西省,陕西,240,0,74,0,2020-02-17
23,Hong Kong,香港,香港,57,0,2,1,2020-02-17
24,Zhejiang,浙江省,浙江,1171,0,486,0,2020-02-17
25,Shanxi,山西省,山西,129,0,50,0,2020-02-17
26,Hubei,湖北省,湖北,58182,0,6642,1696,2020-02-17
27,Guangdong,广东省,广东,1322,0,486,4,2020-02-17
28,Tianjin,天津市,天津,125,0,45,3,2020-02-17
29,Hainan,海南省,海南,163,0,52,4,2020-02-17
30,Hebei,河北省,河北,301,0,111,3,2020-02-17
31,Inner Mongolia,内蒙古自治区,内蒙古,72,0,8,0,2020-02-17
32,Heilongjiang,黑龙江省,黑龙江,457,0,84,11,2020-02-17
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-17
