,american_name,country,lat,long,conf_count,date,cured_count,dead_count,country_2
81,"Humboldt County, CA",United States of America,40.745,-123.8695,0,2020-01-22,0,0,United States of America
82,"Sacramento County, CA",United States of America,38.4747,-121.3542,0,2020-01-22,0,0,United States of America
83,Iraq,Iraq,33.0,44.0,0,2020-01-22,0,0,Iraq
84,Unassigned Location (From Diamond Princess),United States of America,35.4437,139.638,0,2020-01-22,0,0,United States of America
85,Oman,Oman,21.0,57.0,0,2020-01-22,0,0,Oman
86,Afghanistan,Afghanistan,33.0,65.0,0,2020-01-22,0,0,Afghanistan
87,Bahrain,Bahrain,26.0275,50.55,0,2020-01-22,0,0,Bahrain
88,Kuwait,Kuwait,29.5,47.75,0,2020-01-22,0,0,Kuwait
89,Algeria,Algeria,28.0339,1.6596,0,2020-01-22,0,0,Algeria
90,Croatia,Croatia,45.1,15.2,0,2020-01-22,0,0,Croatia
91,Switzerland,Switzerland,46.8182,8.2275,0,2020-01-22,0,0,Switzerland
92,Austria,Austria,47.5162,14.5501,0,2020-01-22,0,0,Austria
93,Israel,Israel,31.0,35.0,0,2020-01-22,0,0,Israel
94,Pakistan,Pakistan,30.3753,69.3451,0,2020-01-22,0,0,Pakistan
95,Brazil,Brazil,-14.235,-51.9253,0,2020-01-22,0,0,Brazil
96,Georgia,Georgia,42.3154,43.3569,0,2020-01-22,0,0,Georgia
97,Greece,Greece,39.0742,21.8243,0,2020-01-22,0,0,Greece
98,North Macedonia,North Macedonia,41.6086,21.7453,0,2020-01-22,0,0,North Macedonia
99,Norway,Norway,60.472,8.4689,0,2020-01-22,0,0,Norway
100,Romania,Romania,45.9432,24.9668,0,2020-01-22,0,0,Romania
101,Denmark,Denmark,56.2639,9.5018,0,2020-01-22,0,0,Denmark
102,Estonia,Estonia,58.5953,25.0136,0,2020-01-22,0,0,Estonia
103,Netherlands,Netherlands,52.1326,5.2913,0,2020-01-22,0,0,Netherlands
104,San Marino,San Marino,43.9424,12.4578,0,2020-01-22,0,0,San Marino
105,Anhui,China,31.8257,117.2264,9,2020-01-23,0,0,China
106,Beijing,China,40.1824,116.4142,22,2020-01-23,0,0,China
107,Chongqing,China,30.0572,107.874,9,2020-01-23,0,0,China
108,Fujian,China,26.0789,117.9874,5,2020-01-23,0,0,China
109,Gansu,China,36.0611,103.8343,2,2020-01-23,0,0,China
110,Guangdong,China,23.3417,113.4244,32,2020-01-23,2,0,China
111,Guangxi,China,23.8298,108.7881,5,2020-01-23,0,0,China
112,Guizhou,China,26.8154,106.8748,3,2020-01-23,0,0,China
113,Hainan,China,19.1959,109.7453,5,2020-01-23,0,0,China
114,Hebei,China,38.0428,114.5149,1,2020-01-23,0,1,China
115,Heilongjiang,China,47.861999999999995,127.7615,2,2020-01-23,0,0,China
116,Henan,China,33.882020000000004,113.61399999999999,5,2020-01-23,0,0,China
117,Hubei,China,30.9756,112.2707,444,2020-01-23,28,17,China
118,Hunan,China,27.6104,111.7088,9,2020-01-23,0,0,China
119,Inner Mongolia,China,44.0935,113.9448,0,2020-01-23,0,0,China
120,Jiangsu,China,32.9711,119.455,5,2020-01-23,0,0,China
121,Jiangxi,China,27.614,115.7221,7,2020-01-23,0,0,China
122,Jilin,China,43.6661,126.1923,1,2020-01-23,0,0,China
123,Liaoning,China,41.2956,122.6085,3,2020-01-23,0,0,China
