,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,8,0,0,0,2020-01-31
1,Fujian,福建省,福建,101,0,0,0,2020-01-31
2,Liaoning,辽宁省,辽宁,41,0,1,0,2020-01-31
3,Sichuan,四川省,四川,142,0,1,1,2020-01-31
4,Jiangsu,江苏省,江苏,129,0,1,0,2020-01-31
5,Jiangxi,江西省,江西,162,0,5,0,2020-01-31
6,Shandong,山东省,山东,158,0,1,0,2020-01-31
7,Guangxi,广西壮族自治区,广西,78,0,2,0,2020-01-31
8,Ningxia,宁夏回族自治区,宁夏,17,0,0,0,2020-01-31
9,Macau,澳门,澳门,7,0,0,0,2020-01-31
10,Henan,河南省,河南,278,0,2,2,2020-01-31
11,Shanghai,上海市,上海,112,0,5,1,2020-01-31
12,Beijing,北京市,北京,114,0,4,1,2020-01-31
13,Anhui,安徽省,安徽,200,0,2,0,2020-01-31
14,Taiwan,台湾,台湾,9,0,0,0,2020-01-31
15,Xinjiang,新疆维吾尔自治区,新疆,14,0,0,0,2020-01-31
16,Hunan,湖南省,湖南,277,0,2,0,2020-01-31
17,Jilin,吉林省,吉林,14,0,1,0,2020-01-31
18,Gansu,甘肃省,甘肃,26,0,0,0,2020-01-31
19,Guizhou,贵州省,贵州,12,0,1,0,2020-01-31
20,Chongqing,重庆市,重庆,182,0,1,0,2020-01-31
21,Yunnan,云南省,云南,70,0,0,0,2020-01-31
22,Shaanxi,陕西省,陕西,63,0,0,0,2020-01-31
23,Hong Kong,香港,香港,10,0,0,0,2020-01-31
24,Zhejiang,浙江省,浙江,428,0,4,0,2020-01-31
25,Shanxi,山西省,山西,35,0,1,0,2020-01-31
26,Hubei,湖北省,湖北,4903,0,90,162,2020-01-31
27,Guangdong,广东省,广东,354,0,10,0,2020-01-31
28,Tianjin,天津市,天津,31,0,0,0,2020-01-31
29,Hainan,海南省,海南,46,0,1,1,2020-01-31
30,Hebei,河北省,河北,65,0,0,1,2020-01-31
31,Inner Mongolia,内蒙古自治区,内蒙古,19,0,0,0,2020-01-31
32,Heilongjiang,黑龙江省,黑龙江,44,0,0,2,2020-01-31
33,Tibet,西藏自治区,西藏,1,0,0,0,2020-01-31
