,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,18,0,2020-03-03
1,Fujian,福建省,福建,296,0,260,1,2020-03-03
2,Liaoning,辽宁省,辽宁,125,0,106,1,2020-03-03
3,Sichuan,四川省,四川,538,0,394,3,2020-03-03
4,Jiangsu,江苏省,江苏,631,0,562,0,2020-03-03
5,Jiangxi,江西省,江西,935,0,870,1,2020-03-03
6,Shandong,山东省,山东,758,0,511,6,2020-03-03
7,Guangxi,广西壮族自治区,广西,252,0,202,2,2020-03-03
8,Ningxia,宁夏回族自治区,宁夏,74,0,69,0,2020-03-03
9,Macau,澳门,澳门,10,0,9,0,2020-03-03
10,Henan,河南省,河南,1272,0,1231,22,2020-03-03
11,Shanghai,上海市,上海,338,0,294,3,2020-03-03
12,Beijing,北京市,北京,414,0,288,8,2020-03-03
13,Anhui,安徽省,安徽,990,0,936,6,2020-03-03
14,Taiwan,台湾,台湾,42,0,12,1,2020-03-03
15,Xinjiang,新疆维吾尔自治区,新疆,76,0,68,3,2020-03-03
16,Hunan,湖南省,湖南,1018,0,906,4,2020-03-03
17,Jilin,吉林省,吉林,93,0,83,1,2020-03-03
18,Gansu,甘肃省,甘肃,91,0,86,2,2020-03-03
19,Guizhou,贵州省,贵州,146,0,114,2,2020-03-03
20,Chongqing,重庆市,重庆,576,0,469,6,2020-03-03
21,Yunnan,云南省,云南,174,0,169,2,2020-03-03
22,Shaanxi,陕西省,陕西,245,0,216,1,2020-03-03
23,Hong Kong,香港,香港,100,0,37,2,2020-03-03
24,Zhejiang,浙江省,浙江,1213,0,1093,1,2020-03-03
25,Shanxi,山西省,山西,133,0,120,0,2020-03-03
26,Hubei,湖北省,湖北,67217,0,36208,2835,2020-03-03
27,Guangdong,广东省,广东,1350,0,1101,7,2020-03-03
28,Tianjin,天津市,天津,136,0,124,3,2020-03-03
29,Hainan,海南省,海南,168,0,152,5,2020-03-03
30,Hebei,河北省,河北,318,0,300,6,2020-03-03
31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,59,1,2020-03-03
32,Heilongjiang,黑龙江省,黑龙江,480,0,366,13,2020-03-03
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-03-03
