,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,13,0,2020-02-16
1,Fujian,福建省,福建,287,0,79,0,2020-02-16
2,Liaoning,辽宁省,辽宁,120,0,35,1,2020-02-16
3,Sichuan,四川省,四川,481,0,130,3,2020-02-16
4,Jiangsu,江苏省,江苏,617,0,209,0,2020-02-16
5,Jiangxi,江西省,江西,925,0,239,1,2020-02-16
6,Shandong,山东省,山东,537,0,166,2,2020-02-16
7,Guangxi,广西壮族自治区,广西,237,0,46,2,2020-02-16
8,Ningxia,宁夏回族自治区,宁夏,70,0,33,0,2020-02-16
9,Macau,澳门,澳门,10,0,3,0,2020-02-16
10,Henan,河南省,河南,1231,0,421,13,2020-02-16
11,Shanghai,上海市,上海,328,0,140,1,2020-02-16
12,Beijing,北京市,北京,380,0,105,4,2020-02-16
13,Anhui,安徽省,安徽,962,0,249,6,2020-02-16
14,Taiwan,台湾,台湾,18,0,2,0,2020-02-16
15,Xinjiang,新疆维吾尔自治区,新疆,71,0,11,1,2020-02-16
16,Hunan,湖南省,湖南,1004,0,452,3,2020-02-16
17,Jilin,吉林省,吉林,89,0,28,1,2020-02-16
18,Gansu,甘肃省,甘肃,90,0,49,2,2020-02-16
19,Guizhou,贵州省,贵州,144,0,41,1,2020-02-16
20,Chongqing,重庆市,重庆,544,0,184,5,2020-02-16
21,Yunnan,云南省,云南,169,0,42,0,2020-02-16
22,Shaanxi,陕西省,陕西,236,0,64,0,2020-02-16
23,Hong Kong,香港,香港,56,0,1,1,2020-02-16
24,Zhejiang,浙江省,浙江,1167,0,441,0,2020-02-16
25,Shanxi,山西省,山西,128,0,46,0,2020-02-16
26,Hubei,湖北省,湖北,56249,0,5623,1596,2020-02-16
27,Guangdong,广东省,广东,1316,0,438,2,2020-02-16
28,Tianjin,天津市,天津,124,0,37,3,2020-02-16
29,Hainan,海南省,海南,162,0,39,4,2020-02-16
30,Hebei,河北省,河北,300,0,103,3,2020-02-16
31,Inner Mongolia,内蒙古自治区,内蒙古,70,0,7,0,2020-02-16
32,Heilongjiang,黑龙江省,黑龙江,445,0,73,11,2020-02-16
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-16
