,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,18,0,2020-02-28
1,Fujian,福建省,福建,296,0,232,1,2020-02-28
2,Liaoning,辽宁省,辽宁,121,0,93,1,2020-02-28
3,Sichuan,四川省,四川,538,0,327,3,2020-02-28
4,Jiangsu,江苏省,江苏,631,0,514,0,2020-02-28
5,Jiangxi,江西省,江西,935,0,790,1,2020-02-28
6,Shandong,山东省,山东,756,0,396,6,2020-02-28
7,Guangxi,广西壮族自治区,广西,252,0,166,2,2020-02-28
8,Ningxia,宁夏回族自治区,宁夏,72,0,68,0,2020-02-28
9,Macau,澳门,澳门,10,0,8,0,2020-02-28
10,Henan,河南省,河南,1272,0,1103,20,2020-02-28
11,Shanghai,上海市,上海,337,0,276,3,2020-02-28
12,Beijing,北京市,北京,410,0,257,7,2020-02-28
13,Anhui,安徽省,安徽,990,0,821,6,2020-02-28
14,Taiwan,台湾,台湾,32,0,6,1,2020-02-28
15,Xinjiang,新疆维吾尔自治区,新疆,76,0,43,3,2020-02-28
16,Hunan,湖南省,湖南,1017,0,823,4,2020-02-28
17,Jilin,吉林省,吉林,93,0,68,1,2020-02-28
18,Gansu,甘肃省,甘肃,91,0,82,2,2020-02-28
19,Guizhou,贵州省,贵州,146,0,112,2,2020-02-28
20,Chongqing,重庆市,重庆,576,0,401,6,2020-02-28
21,Yunnan,云南省,云南,174,0,150,2,2020-02-28
22,Shaanxi,陕西省,陕西,245,0,197,1,2020-02-28
23,Hong Kong,香港,香港,93,0,26,2,2020-02-28
24,Zhejiang,浙江省,浙江,1205,0,943,1,2020-02-28
25,Shanxi,山西省,山西,133,0,107,0,2020-02-28
26,Hubei,湖北省,湖北,65914,0,26403,2682,2020-02-28
27,Guangdong,广东省,广东,1348,0,932,7,2020-02-28
28,Tianjin,天津市,天津,136,0,102,3,2020-02-28
29,Hainan,海南省,海南,168,0,132,5,2020-02-28
30,Hebei,河北省,河北,318,0,274,6,2020-02-28
31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,43,0,2020-02-28
32,Heilongjiang,黑龙江省,黑龙江,480,0,283,13,2020-02-28
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-28
