,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,6,0,0,0,2020-01-29
1,Fujian,福建省,福建,80,0,0,0,2020-01-29
2,Liaoning,辽宁省,辽宁,34,0,0,0,2020-01-29
3,Sichuan,四川省,四川,90,0,0,0,2020-01-29
4,Jiangsu,江苏省,江苏,70,0,1,0,2020-01-29
5,Jiangxi,江西省,江西,72,0,3,0,2020-01-29
6,Shandong,山东省,山东,95,0,0,0,2020-01-29
7,Guangxi,广西壮族自治区,广西,51,0,2,0,2020-01-29
8,Ningxia,宁夏回族自治区,宁夏,11,0,0,0,2020-01-29
9,Macau,澳门,澳门,7,0,0,0,2020-01-29
10,Henan,河南省,河南,168,0,0,1,2020-01-29
11,Shanghai,上海市,上海,66,0,4,1,2020-01-29
12,Beijing,北京市,北京,91,0,4,1,2020-01-29
13,Anhui,安徽省,安徽,106,0,0,0,2020-01-29
14,Taiwan,台湾,台湾,8,0,0,0,2020-01-29
15,Xinjiang,新疆维吾尔自治区,新疆,10,0,0,0,2020-01-29
16,Hunan,湖南省,湖南,143,0,0,0,2020-01-29
17,Jilin,吉林省,吉林,8,0,0,0,2020-01-29
18,Gansu,甘肃省,甘肃,19,0,0,0,2020-01-29
19,Guizhou,贵州省,贵州,9,0,0,0,2020-01-29
20,Chongqing,重庆市,重庆,132,0,0,0,2020-01-29
21,Yunnan,云南省,云南,44,0,0,0,2020-01-29
22,Shaanxi,陕西省,陕西,46,0,0,0,2020-01-29
23,Hong Kong,香港,香港,8,0,0,0,2020-01-29
24,Zhejiang,浙江省,浙江,173,0,3,0,2020-01-29
25,Shanxi,山西省,山西,20,0,0,0,2020-01-29
26,Hubei,湖北省,湖北,2714,0,52,100,2020-01-29
27,Guangdong,广东省,广东,207,0,4,0,2020-01-29
28,Tianjin,天津市,天津,24,0,0,0,2020-01-29
29,Hainan,海南省,海南,40,0,0,1,2020-01-29
30,Hebei,河北省,河北,33,0,0,1,2020-01-29
31,Inner Mongolia,内蒙古自治区,内蒙古,15,0,0,0,2020-01-29
32,Heilongjiang,黑龙江省,黑龙江,33,0,0,1,2020-01-29
