,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,9,0,2020-02-13
1,Fujian,福建省,福建,272,0,53,0,2020-02-13
2,Liaoning,辽宁省,辽宁,116,0,20,1,2020-02-13
3,Sichuan,四川省,四川,436,0,92,1,2020-02-13
4,Jiangsu,江苏省,江苏,543,0,125,0,2020-02-13
5,Jiangxi,江西省,江西,844,0,152,1,2020-02-13
6,Shandong,山东省,山东,497,0,92,2,2020-02-13
7,Guangxi,广西壮族自治区,广西,222,0,32,1,2020-02-13
8,Ningxia,宁夏回族自治区,宁夏,58,0,24,0,2020-02-13
9,Macau,澳门,澳门,10,0,2,0,2020-02-13
10,Henan,河南省,河南,1135,0,246,8,2020-02-13
11,Shanghai,上海市,上海,311,0,57,1,2020-02-13
12,Beijing,北京市,北京,352,0,56,3,2020-02-13
13,Anhui,安徽省,安徽,889,0,127,4,2020-02-13
14,Taiwan,台湾,台湾,18,0,1,0,2020-02-13
15,Xinjiang,新疆维吾尔自治区,新疆,59,0,3,0,2020-02-13
16,Hunan,湖南省,湖南,946,0,304,2,2020-02-13
17,Jilin,吉林省,吉林,83,0,22,1,2020-02-13
18,Gansu,甘肃省,甘肃,86,0,29,2,2020-02-13
19,Guizhou,贵州省,贵州,133,0,18,1,2020-02-13
20,Chongqing,重庆市,重庆,509,0,87,3,2020-02-13
21,Yunnan,云南省,云南,154,0,26,0,2020-02-13
22,Shaanxi,陕西省,陕西,225,0,43,0,2020-02-13
23,Hong Kong,香港,香港,50,0,1,1,2020-02-13
24,Zhejiang,浙江省,浙江,1131,0,321,0,2020-02-13
25,Shanxi,山西省,山西,126,0,33,0,2020-02-13
26,Hubei,湖北省,湖北,33366,0,2686,1068,2020-02-13
27,Guangdong,广东省,广东,1219,0,275,1,2020-02-13
28,Tianjin,天津市,天津,112,0,11,2,2020-02-13
29,Hainan,海南省,海南,157,0,27,4,2020-02-13
30,Hebei,河北省,河北,251,0,54,2,2020-02-13
31,Inner Mongolia,内蒙古自治区,内蒙古,60,0,6,0,2020-02-13
32,Heilongjiang,黑龙江省,黑龙江,378,0,31,8,2020-02-13
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-13
