,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,18,0,2020-03-02
1,Fujian,福建省,福建,296,0,247,1,2020-03-02
2,Liaoning,辽宁省,辽宁,122,0,103,1,2020-03-02
3,Sichuan,四川省,四川,538,0,381,3,2020-03-02
4,Jiangsu,江苏省,江苏,631,0,538,0,2020-03-02
5,Jiangxi,江西省,江西,935,0,850,1,2020-03-02
6,Shandong,山东省,山东,758,0,460,6,2020-03-02
7,Guangxi,广西壮族自治区,广西,252,0,191,2,2020-03-02
8,Ningxia,宁夏回族自治区,宁夏,74,0,69,0,2020-03-02
9,Macau,澳门,澳门,10,0,8,0,2020-03-02
10,Henan,河南省,河南,1272,0,1205,22,2020-03-02
11,Shanghai,上海市,上海,337,0,292,3,2020-03-02
12,Beijing,北京市,北京,414,0,282,8,2020-03-02
13,Anhui,安徽省,安徽,990,0,889,6,2020-03-02
14,Taiwan,台湾,台湾,41,0,12,1,2020-03-02
15,Xinjiang,新疆维吾尔自治区,新疆,76,0,64,3,2020-03-02
16,Hunan,湖南省,湖南,1018,0,882,4,2020-03-02
17,Jilin,吉林省,吉林,93,0,79,1,2020-03-02
18,Gansu,甘肃省,甘肃,91,0,84,2,2020-03-02
19,Guizhou,贵州省,贵州,146,0,114,2,2020-03-02
20,Chongqing,重庆市,重庆,576,0,450,6,2020-03-02
21,Yunnan,云南省,云南,174,0,168,2,2020-03-02
22,Shaanxi,陕西省,陕西,245,0,216,1,2020-03-02
23,Hong Kong,香港,香港,98,0,36,2,2020-03-02
24,Zhejiang,浙江省,浙江,1206,0,1068,1,2020-03-02
25,Shanxi,山西省,山西,133,0,116,0,2020-03-02
26,Hubei,湖北省,湖北,67103,0,33762,2803,2020-03-02
27,Guangdong,广东省,广东,1350,0,1051,7,2020-03-02
28,Tianjin,天津市,天津,136,0,111,3,2020-03-02
29,Hainan,海南省,海南,168,0,151,5,2020-03-02
30,Hebei,河北省,河北,318,0,296,6,2020-03-02
31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,54,0,2020-03-02
32,Heilongjiang,黑龙江省,黑龙江,480,0,353,13,2020-03-02
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-03-02
