,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,16,0,2020-02-19
1,Fujian,福建省,福建,293,0,103,0,2020-02-19
2,Liaoning,辽宁省,辽宁,121,0,55,1,2020-02-19
3,Sichuan,四川省,四川,514,0,185,3,2020-02-19
4,Jiangsu,江苏省,江苏,631,0,300,0,2020-02-19
5,Jiangxi,江西省,江西,934,0,362,1,2020-02-19
6,Shandong,山东省,山东,544,0,221,3,2020-02-19
7,Guangxi,广西壮族自治区,广西,244,0,81,2,2020-02-19
8,Ningxia,宁夏回族自治区,宁夏,71,0,42,0,2020-02-19
9,Macau,澳门,澳门,10,0,5,0,2020-02-19
10,Henan,河南省,河南,1262,0,560,19,2020-02-19
11,Shanghai,上海市,上海,333,0,186,2,2020-02-19
12,Beijing,北京市,北京,393,0,145,4,2020-02-19
13,Anhui,安徽省,安徽,986,0,401,6,2020-02-19
14,Taiwan,台湾,台湾,22,0,2,1,2020-02-19
15,Xinjiang,新疆维吾尔自治区,新疆,76,0,20,1,2020-02-19
16,Hunan,湖南省,湖南,1008,0,554,4,2020-02-19
17,Jilin,吉林省,吉林,90,0,37,1,2020-02-19
18,Gansu,甘肃省,甘肃,91,0,62,2,2020-02-19
19,Guizhou,贵州省,贵州,146,0,69,2,2020-02-19
20,Chongqing,重庆市,重庆,555,0,254,5,2020-02-19
21,Yunnan,云南省,云南,173,0,60,1,2020-02-19
22,Shaanxi,陕西省,陕西,242,0,100,0,2020-02-19
23,Hong Kong,香港,香港,62,0,4,2,2020-02-19
24,Zhejiang,浙江省,浙江,1174,0,549,0,2020-02-19
25,Shanxi,山西省,山西,131,0,62,0,2020-02-19
26,Hubei,湖北省,湖北,61682,0,9170,1921,2020-02-19
27,Guangdong,广东省,广东,1331,0,578,5,2020-02-19
28,Tianjin,天津市,天津,128,0,48,3,2020-02-19
29,Hainan,海南省,海南,163,0,79,4,2020-02-19
30,Hebei,河北省,河北,306,0,136,4,2020-02-19
31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,9,0,2020-02-19
32,Heilongjiang,黑龙江省,黑龙江,470,0,115,12,2020-02-19
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-19
