,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,11,0,2020-02-15
1,Fujian,福建省,福建,285,0,66,0,2020-02-15
2,Liaoning,辽宁省,辽宁,119,0,29,1,2020-02-15
3,Sichuan,四川省,四川,463,0,114,1,2020-02-15
4,Jiangsu,江苏省,江苏,593,0,157,0,2020-02-15
5,Jiangxi,江西省,江西,900,0,187,1,2020-02-15
6,Shandong,山东省,山东,523,0,136,2,2020-02-15
7,Guangxi,广西壮族自治区,广西,235,0,40,2,2020-02-15
8,Ningxia,宁夏回族自治区,宁夏,67,0,24,0,2020-02-15
9,Macau,澳门,澳门,10,0,3,0,2020-02-15
10,Henan,河南省,河南,1184,0,357,11,2020-02-15
11,Shanghai,上海市,上海,326,0,90,1,2020-02-15
12,Beijing,北京市,北京,372,0,80,3,2020-02-15
13,Anhui,安徽省,安徽,934,0,193,6,2020-02-15
14,Taiwan,台湾,台湾,18,0,2,0,2020-02-15
15,Xinjiang,新疆维吾尔自治区,新疆,65,0,6,1,2020-02-15
16,Hunan,湖南省,湖南,988,0,364,2,2020-02-15
17,Jilin,吉林省,吉林,88,0,25,1,2020-02-15
18,Gansu,甘肃省,甘肃,90,0,39,2,2020-02-15
19,Guizhou,贵州省,贵州,140,0,28,1,2020-02-15
20,Chongqing,重庆市,重庆,537,0,152,5,2020-02-15
21,Yunnan,云南省,云南,162,0,36,0,2020-02-15
22,Shaanxi,陕西省,陕西,230,0,54,0,2020-02-15
23,Hong Kong,香港,香港,56,0,1,1,2020-02-15
24,Zhejiang,浙江省,浙江,1155,0,403,0,2020-02-15
25,Shanxi,山西省,山西,127,0,38,0,2020-02-15
26,Hubei,湖北省,湖北,54406,0,4774,1457,2020-02-15
27,Guangdong,广东省,广东,1261,0,362,2,2020-02-15
28,Tianjin,天津市,天津,120,0,32,3,2020-02-15
29,Hainan,海南省,海南,159,0,43,4,2020-02-15
30,Hebei,河北省,河北,291,0,86,3,2020-02-15
31,Inner Mongolia,内蒙古自治区,内蒙古,65,0,6,0,2020-02-15
32,Heilongjiang,黑龙江省,黑龙江,425,0,48,11,2020-02-15
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-15
