,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,16,0,2020-02-20
1,Fujian,福建省,福建,293,0,112,1,2020-02-20
2,Liaoning,辽宁省,辽宁,121,0,58,1,2020-02-20
3,Sichuan,四川省,四川,520,0,209,3,2020-02-20
4,Jiangsu,江苏省,江苏,631,0,331,0,2020-02-20
5,Jiangxi,江西省,江西,934,0,433,1,2020-02-20
6,Shandong,山东省,山东,546,0,242,4,2020-02-20
7,Guangxi,广西壮族自治区,广西,245,0,89,2,2020-02-20
8,Ningxia,宁夏回族自治区,宁夏,71,0,44,0,2020-02-20
9,Macau,澳门,澳门,10,0,6,0,2020-02-20
10,Henan,河南省,河南,1265,0,614,19,2020-02-20
11,Shanghai,上海市,上海,333,0,187,2,2020-02-20
12,Beijing,北京市,北京,395,0,153,4,2020-02-20
13,Anhui,安徽省,安徽,987,0,439,6,2020-02-20
14,Taiwan,台湾,台湾,24,0,2,1,2020-02-20
15,Xinjiang,新疆维吾尔自治区,新疆,76,0,20,1,2020-02-20
16,Hunan,湖南省,湖南,1010,0,597,4,2020-02-20
17,Jilin,吉林省,吉林,91,0,40,1,2020-02-20
18,Gansu,甘肃省,甘肃,91,0,65,2,2020-02-20
19,Guizhou,贵州省,贵州,146,0,71,2,2020-02-20
20,Chongqing,重庆市,重庆,560,0,274,5,2020-02-20
21,Yunnan,云南省,云南,172,0,67,1,2020-02-20
22,Shaanxi,陕西省,陕西,245,0,106,1,2020-02-20
23,Hong Kong,香港,香港,65,0,6,2,2020-02-20
24,Zhejiang,浙江省,浙江,1175,0,610,0,2020-02-20
25,Shanxi,山西省,山西,131,0,70,0,2020-02-20
26,Hubei,湖北省,湖北,62031,0,10338,2029,2020-02-20
27,Guangdong,广东省,广东,1332,0,624,5,2020-02-20
28,Tianjin,天津市,天津,130,0,54,3,2020-02-20
29,Hainan,海南省,海南,168,0,84,4,2020-02-20
30,Hebei,河北省,河北,307,0,154,5,2020-02-20
31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,11,0,2020-02-20
32,Heilongjiang,黑龙江省,黑龙江,476,0,127,12,2020-02-20
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-20
