,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,16,0,2020-02-21
1,Fujian,福建省,福建,293,0,126,1,2020-02-21
2,Liaoning,辽宁省,辽宁,121,0,59,1,2020-02-21
3,Sichuan,四川省,四川,520,0,217,3,2020-02-21
4,Jiangsu,江苏省,江苏,631,0,356,0,2020-02-21
5,Jiangxi,江西省,江西,934,0,433,1,2020-02-21
6,Shandong,山东省,山东,546,0,254,4,2020-02-21
7,Guangxi,广西壮族自治区,广西,245,0,90,2,2020-02-21
8,Ningxia,宁夏回族自治区,宁夏,71,0,44,0,2020-02-21
9,Macau,澳门,澳门,10,0,6,0,2020-02-21
10,Henan,河南省,河南,1265,0,637,19,2020-02-21
11,Shanghai,上海市,上海,334,0,199,2,2020-02-21
12,Beijing,北京市,北京,395,0,153,4,2020-02-21
13,Anhui,安徽省,安徽,987,0,474,6,2020-02-21
14,Taiwan,台湾,台湾,24,0,2,1,2020-02-21
15,Xinjiang,新疆维吾尔自治区,新疆,76,0,22,1,2020-02-21
16,Hunan,湖南省,湖南,1010,0,634,4,2020-02-21
17,Jilin,吉林省,吉林,91,0,43,1,2020-02-21
18,Gansu,甘肃省,甘肃,91,0,71,2,2020-02-21
19,Guizhou,贵州省,贵州,146,0,72,2,2020-02-21
20,Chongqing,重庆市,重庆,567,0,299,6,2020-02-21
21,Yunnan,云南省,云南,174,0,79,2,2020-02-21
22,Shaanxi,陕西省,陕西,245,0,118,1,2020-02-21
23,Hong Kong,香港,香港,68,0,6,2,2020-02-21
24,Zhejiang,浙江省,浙江,1175,0,633,1,2020-02-21
25,Shanxi,山西省,山西,132,0,76,0,2020-02-21
26,Hubei,湖北省,湖北,62031,0,10521,2029,2020-02-21
27,Guangdong,广东省,广东,1332,0,642,5,2020-02-21
28,Tianjin,天津市,天津,131,0,59,3,2020-02-21
29,Hainan,海南省,海南,168,0,86,4,2020-02-21
30,Hebei,河北省,河北,307,0,169,5,2020-02-21
31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,16,0,2020-02-21
32,Heilongjiang,黑龙江省,黑龙江,476,0,136,12,2020-02-21
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-21
