,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,8,0,0,0,2020-02-01
1,Fujian,福建省,福建,120,0,0,0,2020-02-01
2,Liaoning,辽宁省,辽宁,60,0,1,0,2020-02-01
3,Sichuan,四川省,四川,177,0,1,1,2020-02-01
4,Jiangsu,江苏省,江苏,168,0,5,0,2020-02-01
5,Jiangxi,江西省,江西,240,0,7,0,2020-02-01
6,Shandong,山东省,山东,184,0,2,0,2020-02-01
7,Guangxi,广西壮族自治区,广西,87,0,2,0,2020-02-01
8,Ningxia,宁夏回族自治区,宁夏,21,0,0,0,2020-02-01
9,Macau,澳门,澳门,7,0,0,0,2020-02-01
10,Henan,河南省,河南,352,0,3,2,2020-02-01
11,Shanghai,上海市,上海,153,0,9,1,2020-02-01
12,Beijing,北京市,北京,139,0,5,1,2020-02-01
13,Anhui,安徽省,安徽,237,0,3,0,2020-02-01
14,Taiwan,台湾,台湾,10,0,0,0,2020-02-01
15,Xinjiang,新疆维吾尔自治区,新疆,17,0,0,0,2020-02-01
16,Hunan,湖南省,湖南,332,0,2,0,2020-02-01
17,Jilin,吉林省,吉林,14,0,1,0,2020-02-01
18,Gansu,甘肃省,甘肃,35,0,0,0,2020-02-01
19,Guizhou,贵州省,贵州,29,0,2,0,2020-02-01
20,Chongqing,重庆市,重庆,238,0,1,0,2020-02-01
21,Yunnan,云南省,云南,83,0,1,0,2020-02-01
22,Shaanxi,陕西省,陕西,87,0,0,0,2020-02-01
23,Hong Kong,香港,香港,12,0,0,0,2020-02-01
24,Zhejiang,浙江省,浙江,537,0,11,0,2020-02-01
25,Shanxi,山西省,山西,47,0,1,0,2020-02-01
26,Hubei,湖北省,湖北,7153,0,0,249,2020-02-01
27,Guangdong,广东省,广东,436,0,11,0,2020-02-01
28,Tianjin,天津市,天津,32,0,0,0,2020-02-01
29,Hainan,海南省,海南,53,0,1,1,2020-02-01
30,Hebei,河北省,河北,82,0,0,1,2020-02-01
31,Inner Mongolia,内蒙古自治区,内蒙古,20,0,1,0,2020-02-01
32,Heilongjiang,黑龙江省,黑龙江,59,0,0,2,2020-02-01
33,Tibet,西藏自治区,西藏,1,0,0,0,2020-02-01
