,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,18,0,2020-02-24
1,Fujian,福建省,福建,293,0,170,1,2020-02-24
2,Liaoning,辽宁省,辽宁,121,0,73,1,2020-02-24
3,Sichuan,四川省,四川,526,0,261,3,2020-02-24
4,Jiangsu,江苏省,江苏,631,0,418,0,2020-02-24
5,Jiangxi,江西省,江西,934,0,613,1,2020-02-24
6,Shandong,山东省,山东,754,0,321,4,2020-02-24
7,Guangxi,广西壮族自治区,广西,249,0,106,2,2020-02-24
8,Ningxia,宁夏回族自治区,宁夏,71,0,56,0,2020-02-24
9,Macau,澳门,澳门,10,0,6,0,2020-02-24
10,Henan,河南省,河南,1271,0,868,19,2020-02-24
11,Shanghai,上海市,上海,335,0,249,3,2020-02-24
12,Beijing,北京市,北京,399,0,189,4,2020-02-24
13,Anhui,安徽省,安徽,989,0,637,6,2020-02-24
14,Taiwan,台湾,台湾,28,0,2,1,2020-02-24
15,Xinjiang,新疆维吾尔自治区,新疆,76,0,28,2,2020-02-24
16,Hunan,湖南省,湖南,1016,0,714,4,2020-02-24
17,Jilin,吉林省,吉林,91,0,54,1,2020-02-24
18,Gansu,甘肃省,甘肃,91,0,78,2,2020-02-24
19,Guizhou,贵州省,贵州,146,0,102,2,2020-02-24
20,Chongqing,重庆市,重庆,575,0,335,6,2020-02-24
21,Yunnan,云南省,云南,174,0,115,2,2020-02-24
22,Shaanxi,陕西省,陕西,245,0,163,1,2020-02-24
23,Hong Kong,香港,香港,74,0,11,2,2020-02-24
24,Zhejiang,浙江省,浙江,1205,0,760,1,2020-02-24
25,Shanxi,山西省,山西,132,0,88,0,2020-02-24
26,Hubei,湖北省,湖北,64084,0,15343,2346,2020-02-24
27,Guangdong,广东省,广东,1342,0,755,6,2020-02-24
28,Tianjin,天津市,天津,135,0,81,3,2020-02-24
29,Hainan,海南省,海南,168,0,106,5,2020-02-24
30,Hebei,河北省,河北,311,0,219,6,2020-02-24
31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,27,0,2020-02-24
32,Heilongjiang,黑龙江省,黑龙江,480,0,222,12,2020-02-24
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-24
