,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,18,0,2020-02-23
1,Fujian,福建省,福建,293,0,162,1,2020-02-23
2,Liaoning,辽宁省,辽宁,121,0,66,1,2020-02-23
3,Sichuan,四川省,四川,526,0,250,3,2020-02-23
4,Jiangsu,江苏省,江苏,631,0,401,0,2020-02-23
5,Jiangxi,江西省,江西,934,0,555,1,2020-02-23
6,Shandong,山东省,山东,750,0,302,4,2020-02-23
7,Guangxi,广西壮族自治区,广西,249,0,104,2,2020-02-23
8,Ningxia,宁夏回族自治区,宁夏,71,0,48,0,2020-02-23
9,Macau,澳门,澳门,10,0,6,0,2020-02-23
10,Henan,河南省,河南,1270,0,830,19,2020-02-23
11,Shanghai,上海市,上海,335,0,227,3,2020-02-23
12,Beijing,北京市,北京,399,0,178,4,2020-02-23
13,Anhui,安徽省,安徽,989,0,597,6,2020-02-23
14,Taiwan,台湾,台湾,26,0,2,1,2020-02-23
15,Xinjiang,新疆维吾尔自治区,新疆,76,0,25,2,2020-02-23
16,Hunan,湖南省,湖南,1013,0,692,4,2020-02-23
17,Jilin,吉林省,吉林,91,0,52,1,2020-02-23
18,Gansu,甘肃省,甘肃,91,0,76,2,2020-02-23
19,Guizhou,贵州省,贵州,146,0,90,2,2020-02-23
20,Chongqing,重庆市,重庆,573,0,328,6,2020-02-23
21,Yunnan,云南省,云南,174,0,107,2,2020-02-23
22,Shaanxi,陕西省,陕西,245,0,149,1,2020-02-23
23,Hong Kong,香港,香港,69,0,6,2,2020-02-23
24,Zhejiang,浙江省,浙江,1205,0,719,1,2020-02-23
25,Shanxi,山西省,山西,132,0,81,0,2020-02-23
26,Hubei,湖北省,湖北,63454,0,13690,2250,2020-02-23
27,Guangdong,广东省,广东,1339,0,728,5,2020-02-23
28,Tianjin,天津市,天津,135,0,65,3,2020-02-23
29,Hainan,海南省,海南,168,0,104,4,2020-02-23
30,Hebei,河北省,河北,309,0,203,6,2020-02-23
31,Inner Mongolia,内蒙古自治区,内蒙古,75,0,23,0,2020-02-23
32,Heilongjiang,黑龙江省,黑龙江,479,0,204,12,2020-02-23
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-23
