,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,18,0,15,0,2020-02-18
1,Fujian,福建省,福建,292,0,93,0,2020-02-18
2,Liaoning,辽宁省,辽宁,121,0,46,1,2020-02-18
3,Sichuan,四川省,四川,508,0,168,3,2020-02-18
4,Jiangsu,江苏省,江苏,629,0,276,0,2020-02-18
5,Jiangxi,江西省,江西,933,0,310,1,2020-02-18
6,Shandong,山东省,山东,543,0,208,3,2020-02-18
7,Guangxi,广西壮族自治区,广西,242,0,67,2,2020-02-18
8,Ningxia,宁夏回族自治区,宁夏,70,0,35,0,2020-02-18
9,Macau,澳门,澳门,10,0,5,0,2020-02-18
10,Henan,河南省,河南,1257,0,520,19,2020-02-18
11,Shanghai,上海市,上海,333,0,177,1,2020-02-18
12,Beijing,北京市,北京,387,0,122,4,2020-02-18
13,Anhui,安徽省,安徽,982,0,336,6,2020-02-18
14,Taiwan,台湾,台湾,22,0,2,1,2020-02-18
15,Xinjiang,新疆维吾尔自治区,新疆,76,0,12,1,2020-02-18
16,Hunan,湖南省,湖南,1007,0,518,4,2020-02-18
17,Jilin,吉林省,吉林,89,0,36,1,2020-02-18
18,Gansu,甘肃省,甘肃,91,0,58,2,2020-02-18
19,Guizhou,贵州省,贵州,146,0,66,1,2020-02-18
20,Chongqing,重庆市,重庆,553,0,235,5,2020-02-18
21,Yunnan,云南省,云南,172,0,57,0,2020-02-18
22,Shaanxi,陕西省,陕西,240,0,84,0,2020-02-18
23,Hong Kong,香港,香港,61,0,2,1,2020-02-18
24,Zhejiang,浙江省,浙江,1172,0,534,0,2020-02-18
25,Shanxi,山西省,山西,130,0,53,0,2020-02-18
26,Hubei,湖北省,湖北,59989,0,7902,1789,2020-02-18
27,Guangdong,广东省,广东,1328,0,547,4,2020-02-18
28,Tianjin,天津市,天津,127,0,46,3,2020-02-18
29,Hainan,海南省,海南,163,0,67,4,2020-02-18
30,Hebei,河北省,河北,302,0,127,4,2020-02-18
31,Inner Mongolia,内蒙古自治区,内蒙古,73,0,8,0,2020-02-18
32,Heilongjiang,黑龙江省,黑龙江,464,0,105,11,2020-02-18
33,Tibet,西藏自治区,西藏,1,0,1,0,2020-02-18
