,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,15,0,0,0,2020-02-05
1,Fujian,福建省,福建,194,0,3,0,2020-02-05
2,Liaoning,辽宁省,辽宁,81,0,2,0,2020-02-05
3,Sichuan,四川省,四川,282,0,14,1,2020-02-05
4,Jiangsu,江苏省,江苏,308,0,12,0,2020-02-05
5,Jiangxi,江西省,江西,476,0,20,0,2020-02-05
6,Shandong,山东省,山东,275,0,11,0,2020-02-05
7,Guangxi,广西壮族自治区,广西,139,0,10,0,2020-02-05
8,Ningxia,宁夏回族自治区,宁夏,34,0,1,0,2020-02-05
9,Macau,澳门,澳门,10,0,0,0,2020-02-05
10,Henan,河南省,河南,675,2,27,2,2020-02-05
11,Shanghai,上海市,上海,219,0,12,1,2020-02-05
12,Beijing,北京市,北京,228,0,23,1,2020-02-05
13,Anhui,安徽省,安徽,480,0,20,0,2020-02-05
14,Taiwan,台湾,台湾,11,0,0,0,2020-02-05
15,Xinjiang,新疆维吾尔自治区,新疆,29,0,0,0,2020-02-05
16,Hunan,湖南省,湖南,593,0,31,0,2020-02-05
17,Jilin,吉林省,吉林,42,0,1,0,2020-02-05
18,Gansu,甘肃省,甘肃,57,0,4,0,2020-02-05
19,Guizhou,贵州省,贵州,58,0,2,0,2020-02-05
20,Chongqing,重庆市,重庆,344,0,9,2,2020-02-05
21,Yunnan,云南省,云南,122,0,5,0,2020-02-05
22,Shaanxi,陕西省,陕西,142,0,2,0,2020-02-05
23,Hong Kong,香港,香港,17,0,0,1,2020-02-05
24,Zhejiang,浙江省,浙江,829,0,62,0,2020-02-05
25,Shanxi,山西省,山西,81,0,4,0,2020-02-05
26,Hubei,湖北省,湖北,13522,0,397,414,2020-02-05
27,Guangdong,广东省,广东,813,0,30,0,2020-02-05
28,Tianjin,天津市,天津,67,0,2,0,2020-02-05
29,Hainan,海南省,海南,80,0,5,1,2020-02-05
30,Hebei,河北省,河北,126,0,4,1,2020-02-05
31,Inner Mongolia,内蒙古自治区,内蒙古,35,0,1,0,2020-02-05
32,Heilongjiang,黑龙江省,黑龙江,155,0,4,2,2020-02-05
33,Tibet,西藏自治区,西藏,1,0,0,0,2020-02-05
