,american_name,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,date
0,Qinghai,青海省,青海,6,0,0,0,2020-01-28
1,Fujian,福建省,福建,59,0,0,0,2020-01-28
2,Liaoning,辽宁省,辽宁,27,0,0,0,2020-01-28
3,Sichuan,四川省,四川,69,0,0,0,2020-01-28
4,Jiangsu,江苏省,江苏,47,0,1,0,2020-01-28
5,Jiangxi,江西省,江西,48,0,1,0,2020-01-28
6,Shandong,山东省,山东,75,0,0,0,2020-01-28
7,Guangxi,广西壮族自治区,广西,46,0,0,0,2020-01-28
8,Ningxia,宁夏回族自治区,宁夏,7,0,0,0,2020-01-28
9,Macau,澳门,澳门,6,0,0,0,2020-01-28
10,Henan,河南省,河南,128,0,0,1,2020-01-28
11,Shanghai,上海市,上海,53,0,3,1,2020-01-28
12,Beijing,北京市,北京,80,0,2,1,2020-01-28
13,Anhui,安徽省,安徽,70,0,0,0,2020-01-28
14,Taiwan,台湾,台湾,5,0,0,0,2020-01-28
15,Xinjiang,新疆维吾尔自治区,新疆,5,0,0,0,2020-01-28
16,Hunan,湖南省,湖南,100,0,0,0,2020-01-28
17,Jilin,吉林省,吉林,6,0,0,0,2020-01-28
18,Gansu,甘肃省,甘肃,14,0,0,0,2020-01-28
19,Guizhou,贵州省,贵州,7,0,0,0,2020-01-28
20,Chongqing,重庆市,重庆,110,0,0,0,2020-01-28
21,Yunnan,云南省,云南,26,0,0,0,2020-01-28
22,Shaanxi,陕西省,陕西,35,0,0,0,2020-01-28
23,Hong Kong,香港,香港,8,0,0,0,2020-01-28
24,Zhejiang,浙江省,浙江,128,0,1,0,2020-01-28
25,Shanxi,山西省,山西,13,0,0,0,2020-01-28
26,Hubei,湖北省,湖北,1423,0,45,76,2020-01-28
27,Guangdong,广东省,广东,151,0,3,0,2020-01-28
28,Tianjin,天津市,天津,23,0,0,0,2020-01-28
29,Hainan,海南省,海南,33,0,0,1,2020-01-28
30,Hebei,河北省,河北,18,0,0,1,2020-01-28
31,Inner Mongolia,内蒙古自治区,内蒙古,11,0,0,0,2020-01-28
32,Heilongjiang,黑龙江省,黑龙江,21,0,0,1,2020-01-28
